Nombre,Puntuacion_IMDB,Puntuacion_Rotten_Tomatoes,Director,Guionistas,Argumento,Duracion
After,"4,8",11%,Pieter Gaspersz,Sabrina Gennarino,"A story centered around the Valentinos, a struggling family whose delicate balance is threatened by a carefully concealed secret that, if revealed, will change their lives forever.",1h 39min
Así como en la lluvia,,,Manu Ochoa,,,1h 9min
Tafkik,"8,5",,Ridha Tlili,Ridha Tlili,A young girl and a young boy are wanted by the judicial power because they are accused of being involved in terrorist crimes. During their escape they enter a world of crime and smuggle. Within all this they fall in love and the two lovers try to escape and prove their innocence.,1h 30min
17 Tahun Ke Atas,"6,7",,Nayato Fio Nuala,,,
Pillangók,"5,8",,Gábor Forgács,Tibor FonyódiMónika Magyari,"Our story can begin anywhere where chances are rarely found to be able to survive and thrive, where small things matter by the end of the day and where people would want possess things that were never theirs to begin with. In this village where destitution and alcohol prevails, Laci, the world's greatest loser, recently released from prison starts to construct a footb... Leer todo",1h 49min
Dreamboys,,46%,,,,
Jack and the Beanstalk,,72%,,,,
Star Cross'd Jammers,,,Penny Glasswell,Penny GlasswellMichaela Upton,"Set in the fast paced world of roller derby, two opposing star jammers accidentally fall for each other. Will they choose love or the game?",1h 26min
Kaadhal 2014,,,Suganthan,,,2h 12min
Jai Ho,"5,0",14%,Sohail Khan,A.R. MurugadossDilip Shukla,"Un exoficial de la armada tiene la iniciativa de propagar responsabilidad social entre personas comunes y, al hacerlo, su camino se cruza con el de una familia política muy poderosa.",2h 15min
Kagdi Killa,,,Swapnil Shetye,Swapnil Shetye,,1h 30min
My Lady,,,Nick Zemura(Muzita Rababa),Nick Zemura,"When a young student who resorted to prostitution to complete her education meets a heartbroken struggling businessman, the two begin an uncharted relationship that is full of misconceptions.",
You're Not You,"7,3",48%,George C. Wolfe,Shana FesteJordan RobertsMichelle Wildgen,Un drama centrado en un pianista clásico que ha sido diagnosticado con ELA y el estudiante universitario descarado que se convierte en su cuidador.,1h 42min
Beste Chance,"6,0",,Marcus H. Rosenmüller,Karin Michalke,"Kati and Jo, two 17-year-old and best friends since childhood, question if they would miss their small Bavarian hometown of Tandern if they left. When they grow up, one decides to travel around the world while the other attends university",1h 44min
Jack Ryan: Shadow Recruit,"6,2",54%,Kenneth Branagh,Adam CozadDavid KoeppTom Clancy,"Jack Ryan, un joven analista encubierto de la CIA, descubre un complot ruso para derribar la economía estadounidense con un ataque terrorista.",1h 45min
Preethi Geethi Ityaadi,,,Viru Veerendra,Yograj Bhat,,2h
Lamat,"6,7",,G.A. Villafuerte,G.A. Villafuerte,,1h 25min
Easter Sunday,,,R.H.Bless,,"Set in Brooklyn, the film is narrated by 17 year old David(Jaray Hunter), a high school student and aspiring artist from the Red Hook Houses. He sets off on an annual Easter hang out in Coney Island along with friends, Michael(Fritzely Francois), Matthew(Roberto Zuniga ), Andre'(Dan Belizaire ), and cousin, Ainsley(Rydell Rollins). After a night of fun, the evening ta... Leer todo",1h 18min
Non lo so ancora,"5,4",,Fabiana Sargentini,Morando MorandiniCarlo PizzatiFabiana Sargentini,,1h 23min
Educator,,,Helen Perry,Hayley Squires,,45min
Jonesy,,,Jessica Dromgoole,Tom Wells,,45min
Kill the Messenger,"6,9",,Michael Cuesta,Peter LandesmanGary WebbNick Schou,"En California en 1996, el periodista Gary Webb investiga el rol de la CIA en la introducción del crack en los barrios negros de Los Ángeles en los 80 con el fin de financiar el conflicto en Nicaragua.",1h 52min
The Independent Game,,,JT the Bigga Figga,,"This movie is based on a true story. Figg Panamera (JT the bigga figga) moves to Atlanta Ga to bring the knowledge of being Independent to the hungry artist thriving in this region. He is met with opposition from major labels who want to sign these artist to shady 360 deals, also the drug dealers don't want to lose there workers to the music industry. The drama unfold... Leer todo",1h 48min
Hype Nation 3D,"3,9",,Alan CalzattiChristian A. Strickland,Jason LeeDaniel ShinCountrified Wedman,An American dance crew goes head to head with a crew from South Korea.,1h 24min
Swish,,,Bazza Cash,Bazza Cash,,2h
Meendum Amman,,,Kodi Ramakrishna,Kodi Ramakrishna,,2h 21min
Dark Rainbow Part 2,,,Sam Baxter,Sam Baxter,,
Darbast Azadi,"3,1",,Mehrshad Karkhani,Mehrshad Karkhani,,1h 30min
Harijan (Bangla),,,Mirza Sakhawat Hossain,Mirza Sakhawat Hossain,"The information Ministry of the people of Republic of Bangladesh provided grant the six films in the year 2010-2011.Of these Harijan ranks high. The film got an uncut censored approval on 9 July, 2013. And Hall Released on 9 Nov 2014. The community as out the down trodden and casteless Harijan Society accounts much attention of the Electric and print Media. The film w... Leer todo",2h 10min
Bonne Fête Maman,,,François NollaRomy Trajman,Romy Trajman,"On Mother's Day, Barbara, a young single mother and Leo, her 8-year-old son, are stuck in a supermarket for shoplifting.",4h 44min
Unexpected Strangers,,,Gerald Lee,,,1h 5min
Serena,"5,4",,Susanne Bier,Christopher KyleRon Rash,"En la era de la depresión en Carolina del Norte, el futuro del imperio de la madera de George Pemberton se complica cuando se casa con Serena.",1h 49min
Bittersweet Chocolate,"7,9",,Oompon Kitikamara,,"A mother surprises her son Gun with a birthday treat - an ultra-dark and bittersweet chocolate cake. Its mysterious taste makes strange things happen. Gun is a sheltered, rich kid who is having an affair with his revision teacher, whom he brings home when his mother is gone. The teacher also provides Gun with drugs in exchange for money.",1h 2min
Summer to Winter,"5,2",,Tanakorn BangpaoDaraspong Throngprasit,,"In the midst of loneliness, by the side of the sea where people let go of their sadness, and more on, there is Tam. Tam is an introvert, closing himself to his family and ready to walk away if he has a chance. There to meet him is Kimhan who changes him with his smile and hopeful look in is eyes. Tam starts to see happiness in his friendship with this strange person. ... Leer todo",1h 31min
Kali (3ème partie de la Tétralogie Les Chemins Cinétiques),,,,,,1h 17min
Lâzward (2ème partie de la Tétralogie Les Chemins Cinétiques),,,,,,1h 20min
Sarasvati (4ème partie de la Tétralogie Les Chemins Cinétiques),,,,,,1h 25min
About a Young Man,"7,4",,Gabriel Daniel Dorobantu,,"Shy Niklas must undergo a naked medical exam by his secret love before military service. Traumatized, his life spirals with suicidal/murderous thoughts as he anticipates receiving a weapon during his upcoming service.",1h 15min
L'Art de s'égarer ou l'image du bonheur,,,David LegrandBoris Lehman,Walter Benjamin,,46min
300: Rise of an Empire,"6,2",45%,Noam Murro,Zack SnyderKurt JohnstadFrank Miller,"El general griego Temístocles de Atenas lidera la carga naval contra las fuerzas invasoras persas dirigidas por el dios mortal Jerjes y Artemisia, la vengativa comandante de la armada persa.",1h 42min
Wesh Sojon,"5,4",,Abdulaziz Hashshad,Mostafa El Sobky,"The film follows a man in jail who gets sentenced to death by hanging for committing rape, and the details of his life inside the jail and his relationships with his mates.",1h 37min
Small Black Fish,"3,2",,Majid Esmaili Parsa,,,
Más que el agua,"5,9",,Benjamin Cardona,Benjamin Cardona,"A young man whose perception of love is affected by a broken upbringing, struggles to balance a connection between his best friend (a reckless photographer), and the arrival of a romance that questions his expectations of happiness.",1h 29min
Rendas No Ar,,,Sandra Alves,Sandra Alves,"he need for freedom inherent to the human being opposed to imprisonment: that's the story of irreverent and wild Ana, a woman confined by a man who becomes her guardian after the sudden death of her parents.",1h 28min
Vijay Tilak,,,Prabhu H. Chouhan,,,2h 16min
Saints and Soldiers: The Void,"5,3",46%,Ryan Little,Ryan Little,The German war machine is in retreat. Two American M 18 tank destroyers are sent to root out a die hard group of Nazis holed up in the Harz Mountains.,1h 34min
Dying of the Light,"4,5",11%,Paul Schrader,Paul Schrader,"Cuando una enfermedad devastadora amenaza con acabar con la carrera de Evan Lake en la CIA, este se rebela para perseguir a un terrorista que lo torturó hace años durante una misión que salió mal.",1h 34min
Aulad,,,Mohan Singh Rathor,Mohan Singh Rathor,,
Paso a Pasito,,,,,,
Ready 2 Die,"4,0",0%,John Azpilicueta,John AzpilicuetaTed Grau,"After a violent bank robbery, the trio of hoods make their way across East L.A. carrying a blood-soaked bag of money. When word gets out, they must fend off gangs and crooked cops alike as they strive to keep the loot and stay alive.",1h 20min
Donde Estaba Dios?,,,Marvin Perez,Julio GomezVíctor Ortíz,,
Harivu,"8,8",,Mansore,Mansore,"After his son suffers from severe illness, the farmer decides to take him to Bengaluru for treatment. Unfortunately, when the son dies, the farmer faces trouble taking the body back home.",1h 53min
27 B Beadon Street,"8,4",,Biswanath Chakraborty,,"27 B Beadon Street A Drama film Directed by Biswanath Chakraborty starring Sanghmitra Banjerjee, Soumitra Chatterjee.",2h 7min
Los Enemigos del Dolor,"6,3",,Arauco Hernández Holz,Arauco Hernández Holz,"A German actor lands in Montevideo. After his arrival, he gets lost and runs into a group of young men who try to rob him. He meets Pedro, an ex-addict in his forties and Nelson, a laconic security guard whose wife has left him.",1h 20min
The Angriest Man in Brooklyn,"5,7",9%,Phil Alden Robinson,Daniel TaplitzAssi Dayan,"Un hombre perpetuamente enojado es informado que tiene 90 minutos de vida, entonces se dispone rápidamente a reconciliarse con su familia y amigos en el poco tiempo restante.",1h 23min
Nenhures,,,João BritesAmauri Tangará,,,
Hagh-e sokoot,"5,1",,Hadi Naeeji,Hadi Naeeji,Mir Hashem is a young clergy who lives with his wife Fereshteh and recently has managed to buy a house. But that has put him in many debts and the owner is after his debt which leads Mir Hashem to face many problems and difficulties.,1h 10min
Virudhalaam Pattu,,,R. Jayakanthan,R. Jayakanthan,,
Innuma Nammala Namburanga,,,S.R. Balaji,,,
1 Pandhu 4 Run 1 Wicket,,,Veera,Veera,"1 Pandhu 4 Run 1 Wicket, with its quirky title, is a cricket-based silent horror film. The story revolves around a cricket fanatic, who is watching an India versus Pakistan final match. What happens in the last ball of the match becomes very crucial from the story's perspective.",1h 47min
Natpin Nooram Naal,,,Raja Desingu,Raja Desingu,Natpin Nooram Naal is a crime thriller laced with sentiment. It talks about the values of friendship and sacrifice. It is a complete entertainer with an important message.,1h 40min
Nadodi Paravai,,,T. Vijaya Ragava,,,2h 8min
Naangellam Edakoodam,,,R. VijayaKumar,R. VijayaKumar,"With fresh faces and a fresh perspective, this raw and realistic contemporary drama revolves around the trials and triumphs of a carefree youngster, who becomes embroiled in a boxing circuit.",1h 54min
Endrume Anandham,,,Vivekabarathi,Vivekabarathi,,
Manam Konda Kadhal,,,Pugalenthi Raj,Pugalenthi Raj,"Manam Konda Kadhal is a romantic family drama that shows how love is not just an emotion two individuals experience before marriage, but it is what binds them after it.",1h 56min
Pagadai Pagadai,,,Sasi Shankar,Sasi Shankar,,2h 6min
13 Am Pakkam Parkka,"8,0",,Pugalmani Kannan,Pugalmani Kannan,"13 Aam Pakkam Paarkka is a horror movie based on an unknown book, where the 13th page of the book harbors evil. Whoever reads the book gets possessed by the evil, and threatens to ruin their life.",2h 4min
Yaaro Oruvan,,,K.N. Baiju,K.N. Byju,"Embedded with suspense and thrill, this terrifying tale of horror is set against the backdrop of deep and dangerous forests, where eerie and frightening events happen.",2h 1min
Blue Ridge,"5,8",63%,Vince Sweeney,Vince Sweeney,"Paranoid and unpredictable, J.T. lives a solitary life of used tires and decaying trailers. Despite his situation, J.T. wins the love of Sara, an innocent young girl left alone in the world after losing the last of her family.",1h 30min
I ekdikisi tou Dionysou,,,Dimitris Kollatos,Dimitris Kollatos,"Modern Greece as seen through the eyes of the Greek writer and director, Dimitris Kollatos.",1h 38min
Iyakunar,,,Suruli Manogar,,,
Athimalai Muthupandi,,,R. Ragupathi,M. Ramesh,A story of an ordinary tribal who becomes a forest brigand.,2h 7min
Away from Here,"5,7",,Bruce Van Dusen,Kate CohenTimothy Michael Cooper,La vida seis años después de su romance con la hija de quince años del pastor.,1h 22min
Aluchatiyam,,,Premkumar,,,
En Kadhal Pudithu,,,Marish Kumar,,"En Kadhal Pudithu is a 2013 Indian Tamil movie directed by Marish Kumar. The film stars Ram Sathya, Uma Shree, Namitha Pramod, Pandyarajan, G M Kumar in lead roles. The film had musical score by Baskaran.",1h 51min
Madhavanum Malarvizhiyum,,,Masil,Masil,The Story revolves around a dancer couple and showcases the ensuing problems faced by a woman who believes dance is everything.,2h 28min
Kovalanin Kadhali,,,K. Arjun Raja,K. Arjun Raja,"Dhanalakhsmi, daughter of a daily wage labourer, is unable to pay her college fees. She decides to get physically intimate with a rich businessman to take care of her livelihood.",1h 50min
Chithirai Thingal,,,R. Manikam,R. Manikam,,1h 59min
Yasagan,,,Thiraivannan,Thiraivannan,,
Pongadi Neengalum Unga Kaadhalum,,,M.A. Ramakrishnan,M.A. Ramakrishnan,"A satirical tale about the trust that women place on the men in their lives, and how sometimes it proves to be a disadvantage.",2h 16min
Koottam,,,B. Jeevan Reddy,B. Jeevan Reddy,"Koottam is about the Naxalites, the police, some politicians and the connections between all of them.",2h 14min
Amma Ammamma,,,Balu Manivannan,Balu Manivannan,,1h 54min
Pani Vizhum Nilavu,,,Kaushik Lakshminarasimhan,Ezhisur Aravindhan,"This film is centered around a young couple in love, who get separated due to strange circumstances. Although apart, they continue fantasizing and yearn for each other. In a dramatic turn of events, they end up meeting at a wedding through their circle of friends. Would reconcile and accept each other or does fate have a twist in the tale?",2h 12min
Marumunai,,,Marish Kumar,Marish Kumar,The story is about a guy who sets out in search of love. It is a love story with a message for youngsters.,
Vilasam,,,P.A. Raja Ganeshan,P.A. Raja Ganeshan,,2h 5min
Vidiyum Varai Pesu,,,A.B. Mughan,A.B. Mughan,"Vidiyum Varai Pesu' is a fast-paced commercial entertainer with elements of romance, music, comedy, action and thrill. With a combination of fresh, young talent and experienced cast and crew, the director has created a contemporary entertainer with a social message. A simple, quiet young man from a sleepy little village relocates to the city with idealistic dreams and... Leer todo",2h 8min
Mun Andhi Saaral,,,Devendhiran,,,
Nee En Uyire,,,Vikas Lalithraja,Navarasan .Y.,"This family story, rising high on emotions and based on real life incidents is directed by Vikas Lalithraja, starring Navarasan and Vaishali in the lead roles.",2h 28min
Kandharvan,,,Salangaidhurai,Salangaidhurai,,
Ottam Aarambam,,,V.S.T. John,,,
Vazhum Deivam,,,Karupaiah Murugan,,,2h 16min
Veeran Muthu Raaku,,,C. Rajasekaran,,,
Adhu Vera Idhu Vera,,,M. Thilakarajan,M. Thilakarajan,,2h 22min
Eppothum Vendran,,,Siva Sanmugan,Siva Sanmugan,,2h 18min
Thirudu Pogatha Manasu,,,Chella Thangaiah,,,2h 27min
Hogenakkal,,,M.R. Moorthy,M.R. Moorthy,,
Manaivi Amaivathellam,,,Uma Chithra,,,1h 46min
Dhavani Kaatru,,,V.R.P. Manohar,V.R.P. Manohar,,2h 7min
Nila Kaaikirathu,,,,,,
Enn Nenjai Thottaye,,,R.K. Anbuselvan,R.K. Anbuselvan,,2h
Uyirukku Uyiraga,,,Vijaya Manojkumar,,,2h 22min
Rettai Kadhir,,,Ram Kishore,Ram Kishore,,1h 59min
Karpavai Katrapin,,,Patturam Senthil,Patturam Senthil,,2h 8min
Innarku Innarendru,,,Aandal Ramesh,Aandal Ramesh,,
Kalla Saavi,,,Rajeswaran,,,
Sandiyar,,,Chola Devan,,,
Vachikava,,,A.R. Rabi,,,
Ambel Jhoot,,,Ds Divakar,Ds Divakar,,2h 11min
Jamaai,,,M. Jayakumar,,,
Tamilselvanum 50KM Kalaiselviyum,,,P. Pandiyan,,,
Chinnan Chiriya Vanna Paravai,,,Vijayan,Vijayan,,
Aalamaram,,,S.N. Duraisingh,S.N. Duraisingh,,1h 51min
Yaavum Vasappadum,,,Puthiyavan Rasiah,Puthiyavan Rasiah,,2h 8min
Panduvam,,,S. Siva Kumar,S. Siva Kumar,,2h 3min
Thalaikeezh,,,Rex Raj,Rex Raj,,2h 7min
Muyal,,,S.P.S. Guhan,S.P.S. Guhan,,
Puthiyathor Ulagam Seivom,,,B. Nithyanandam,K.S. Nagarajan Raja,,2h 5min
Thalakkonam,,,Padmaraj,,,
Dhanush 5am Vaguppu,,,Thirumalavan,,"It stands as a compelling Tamil feature film that delves into the poignant journey of a young boy in Grade 5, deeply attached to his treasured baby toy.",
Murugatrupadai,,,K. Muruganandam,,,
Velmurugan Borewells,"8,3",,M.P. Gobi,,,2h 1min
Cavallo di Troia,,,Giuseppe Ferlito,Giuseppe Ferlito,,1h 16min
Motvind,,,Adrian Stachnik Larsen,Adrian Stachnik Larsen,"Put things behind you. Make up, before you go on. if you try to run away from something undone, it'll come back to bite you. Two true stories is the basis of the film.",1h 24min
Portrait de Rosa,,,,,,1h 55min
Bullion,,,Philip Luswata,Billy Ashaba,"When doctors tell him that his daughter requires expensive open heart surgery in India, Collins Jjuuko, a bullion van driver, joins a group of money hungry bank employees who are plotting a bullion van robbery. He is betrayed.",
Balbesit: 'n Studie in Stemme,,,Jaco Bouwer,Saartjie Botha,,1h 26min
Rough Hustle,"9,4",,Delaney Dragon,Cam CannonDelaney Dragon,Six blue collar guys team up on the gritty streets of Las Vegas with a strategy to beat the casinos at their own game.,
Travelator,"5,1",,Dusan Milic,Dusan Milic,"Teenage assassin sets out on a long voyage to gun down a witness under protection program, who luxuriates in the artificial worlds of Las Vegas.",1h 39min
Five to Five (5 to 5),"6,3",,Tara Otadi,Mahan Heydari,,
Daughter,"6,9",,Ku Hye-Sun,Ku Hye-Sun,,1h 24min
Something Wicked,"4,6",,Darin Scott,Joe ColleranJoseph Mungra,"As a young couple embarks upon their wedding plans, gruesome secrets from their past collide with sinister forces of the present to ensure these newlyweds do not live.",1h 35min
Life,,52%,Leon K. Thomas,Sadik Kodinhi,"The film is a birds eye view on the family issues. It reiterates the tale of a happy family which consists of Sudhi, Meenakshi and their son Pappoos. When all of a sudden Liya, a loving girl from an ordinary family enters their life, it disrupts the family life. Sudhi is attached to Liya but what repercussions it will have on the family forms the story of the film.",2h 10min
Alice: A True Story,,,Anil DasAnil Das,Anil Das,,
Kulamkuthikal,,,Shibu Chellamangalam,Shibu Chellamangalam,,
Dial 1091,,,Santo Thattil,Surendran Mangatt,,1h 49min
Nattarangu,,,Ramesh Maniyath,Saju KodiyanRamesh Maniyath,,
Snehamulloral Koodeyullappol,,,Riju Nair,Murali Nellanad,,
Black Forest,,29%,Joshy Mathew,Joshy Mathew,,1h 47min
Ghalbe Sefide Ghasedakha,,,Afshin Mahmoudi,Afshin Mahmoudi,"A little girl is born at the start of the Iran-Iraq war. When she is blowing out the candle on her birthday cake, a bomb falls on her house and.",
Penguin High,,,,,,1h 38min
Let's Play Jazz,,,Juan Posada,Juan Posada,"In an apartment in Rio de Janeiro, a group of people get together to speak and listen to philosophy. At meetings, everything happens with the rigor and improvisation of a ""jam session"".",1h 12min
Machado do Brasil,"5,6",,Marcio Vito,,,
Ixel,,,Dylan Verrechia,Dylan Verrechia,,
King's White Horse,"3,7",,Mohammad Hossein Latifi,,Marie is released from prison after a few months and tries to find her husband. She goes to Yashar Doost Soheil to find her Husbend and get out of the crisis in her life; But it does not take long for him to realize that Soheil is about to marry another girl.,1h 26min
If I Stay,"6,7",36%,R.J. Cutler,Shauna CrossGayle Forman,"La vida cambia en un instante para la joven Mia Hall después de que un accidente de coche la deje en coma. Durante una experiencia extracorporal, debe decidir si se despierta y vive una vida muy diferente a la que había imaginado.",1h 47min
Borrowed Moments,"5,9",,Doug McHenry,Jane Deere,"Melissa and Ben Brenner have been simply going through the motions as a married couple, until the day Ben's world is turned upside down when he serendipitously meets the woman of his dreams, and they both are forced to face their future.",1h 30min
This Is Where I Leave You,"6,6",44%,Shawn Levy,Jonathan Tropper,"Cuando su padre se muere, cuatro hermanos adultos se ven obligados a regresar a la casa de su infancia y a vivir juntos bajo el mismo techo durante una semana, junto con su madre que comparte en exceso y un surtido de esposos, ex-esposos y personas que podrían haber estado juntos.",1h 43min
Atlanta (ATL) Undercover,,,Sharlene FallsGary Anthony Sturgis,,,
Due West 2: Our Sex Vacation,,,Mark Wu,Mark Wu,"After his passionate night with Celia, Frankie (Justin Cheung) breaks up with girlfriend Zeta as he can no longer face her innocently. Meanwhile, Celia has disappeared. Frankie is overwhelmed and changes his job for a fresh start.",
Relaciones inesperadas,,,Víctor Miranda,,,1h 44min
Al límite del placer,"7,1",,Andrés ArellanosVíctor Miranda,Luis Felipe Nuñez,,1h 37min
El Ardor,"5,2",38%,Pablo Fendrik,Pablo Fendrik,"A mysterious man emerges from the Argentinean rainforest to help a poor farmer and his daughter, who are threatened by a band of mercenaries hired to force them to sell their land.",1h 41min
Thottal Vidathu,,,Ajit Ravi,,,
Xiyonat girdobi,,,Ruslan MirzayevSaid Mukhtarov,Ruslan MirzayevGaybulla Razzokov,,1h 22min
Revenge of the Green Dragons,"5,3",15%,Andrew LauAndrew Loo,Michael Di JiacomoAndrew LooFredric Dannen,Two best friends rise through the ranks of New York's Chinese underworld in the 1980s.,1h 34min
Of Silence,"2,8",46%,Jeremiah Sayys,Jeremiah Sayys,"An ailing former scuba diver, who faces extremely tough times, begins experiencing otherworldly incidents.",1h 34min
Rogelio,,,Juan Manuel Buenaventura,Juan Manuel Buenaventura,"Rogelio Quiñones is an artistically stagnant photographer who mysteriously begins to live daily what he dreams of at night or during his naps, taking advantage of this situation to meet girls and earn money.",
Sri Guru Thipperudraswamy Pavada,,,B. Shivanand,,,
Ee Dil Helide Nee Bekantha,,,T.M. Srinivasa,T.M. Srinivasa,,
Asa Ha Atarangi,,,Ajit Shirole,Hemant Edlabadkar,"the story of an artist, Jagannath aka Jagu who lives a carefree life on his own terms.",1h 56min
Bhakar,,,Vijay Sahdev Pohankar,,Bhakar is a film based on the lives of farmers in the Vidarbha region. It chronicles the suffering that they have to go through. It shows the effects of the system and natural calamities on these farmers and their families.,1h 59min
Software Ganda,"4,3",,Venkatesh,,"Manu, a software engineer, faces difficulty working under Priya, his short-tempered NRI boss. Priya is forced to leave India due to visa issues and she decides to marry Manu for her selfish needs.",2h 10min
Jothi Alias Kothi Raja,,,Sebastin David,Sebastin David,"Jyothi Alias Kothi Raja charts out the life of Jyothi Raj, a wall climber famous for scaling the Chitradurga Fort without safety harnesses.",2h 14min
Sorry Kane,"10,0",,Rupesh G. Raj,,,
Gandhiji Kanasu,,,Ramesh S. Paravenaikar,Ramesh S. Paravenaikar,,2h 22min
Kolaahala,,,Bhaskar,Bhaskar,,
143,,,Chandrakantha,,,
Gante Ondu,,,J. Murali,,,
Makkale Maanikya,,,Kodulu Ramakrishna,,,
Miss Mallige,,,Krishnakumar,S Krishna,,
Jasmine 5,,,V. Krishna,,,
Jai Bajarang Bali,,,Ravi Varma Gubbi,Ravi Varma Gubbi,"Jai Bajarangbali is the romantic love story between Ajay Rao (Ajay) and Sindhu Loknath (Ambuja). Amjuba, who comes to India to see her father, falls in love with Ajay. She is trying to patch up her separated parents also.Will she succeed in this task and make her parents agree to her relationship is the crux of the story.",
Paramashiva,"6,5",,Mahesh Babu,Mahesh BabuM.S. RameshErode Sounder,,2h 20min
Ingale Maarga,,,Vishal Raaj,Vishal Raaj,"This movie, based on the novel 'Devaraya', follows Devaraya who was a social reformer in Belgaum district that worked towards the uplifting of Dalits and other downtrodden.",2h 3min
Simhadri,,,Shivamani,Shivamani,,2h 41min
Sadagara,,,Gopi Surya,,,
Panganama,,,Guru ChannappaGuru,,,
Chirayu,,,Prashanth,Prashanth,,
Baanaadi,,,Nagaraja Kote,Nagaraja Kote,,2h 26min
Namo Boothatma,"7,2",,Murali,Ma. Chandru,"A man inherits a bungalow which he renovates and turns into a hotel. As customers begin to arrive, each one invariably ends up dead and the owner begins to suspect that the house may be haunted.",2h 36min
Naanu Hemanth Avalu Sevanthi,,,Sudhakar Bananje,Sudhakar Bananje,,2h 14min
Central Jail,,,Balaram,,,
Pyar Ka Gol Gumbaz,,,Dhanush,,,
Pungi Daasa,"7,0",,M.S. Sreenath,M.S. Sreenath,"Ramdasa, a young man, is tasked with the responsibility of recovering his grandfather's money from people. However, he uses unusual and amusing methods to carry out his task.",2h 33min
Manada Mareyalli,,,Rajeev Nethra,,,
Hara,,,Devaraj Palan,,,
Doodh Sagar,,,Samuel Tony,,,
Usiriginta Neene Attira,,,Suryakiran,,,
Nenapideya,,,S.K. Srinivas,Abhijit MaheshS.K. Srinivas,,
Pandya,,,Devu,Devu,,2h 15min
Baasu Ade Hale Kathe,,,Shaan Ali,,,
Billion Dollar Baby,,,Shriya Dinakar,,,2h 17min
Jamboo Savari,,,Venugopal,Sudheer Varma,,2h 11min
Paru Wife of Devadas,,,Kiran Govi,Kiran Govi,,
Matthe Satyagraha,,,Shivanand,,,
Malli,,,Vishnupriyan,S. Vishnupriyan,,
Love Is Poison,,,Nandan Prabhu,Ravishankar NagNandan Prabhu,,2h 12min
Aathma Sakshi,,,Manu .N.,Na. D'Souza,,2h
Veera Pulikeshi,,,Ma. Ba. Manjunath,Ma. Ba. Manjunath,,2h 23min
Typical Kailas,,,B.N. Mallika,,,
Gargar Mandala,,,Ravi Basrur,Ravi Basrur,,
24 Carat,,,S. Umesh,Pawan Wadeyar,,2h 8min
Kwatle Satisha,"7,0",,Mahesh Rao,Mahesh Rao,"Satheesha wants to marry Dhanu but just before the wedding, he unexpectedly loses his memory. However, his friends decide to keep this a secret and help him get married.",
Maryade,,,Maharaja,,,
Crazy Star,"3,1",,V. Ravichandran,Bobby Sanjay,"Five men coincidentally bump into one another at a traffic junction. A sudden, tragic incident takes place adversely affecting the course of their life.",2h 19min
Lights Camera Action,,,Guru Darshan,Prakash,,
Karnataka Ayodhyapuram,,,V. Lava,V. Lava,,
Love Show,,,Srinivas Rao .A.,,,
Kwatle,,,J. Chandrakala,,,
Angaaraka,,,Srinivas Kaushik,Srinivas Kaushik,,2h 14min
Anjada Gandu,"6,8",,Pradeep Raj,EzhilPradeep Raj,"Young Santhu (Satish Neenasam) assists his father (T.S. Nagabharana) in construction work, and is in love with his neighbour Geetha (Subiksha). Unfortunately, Geetha's father (Suman) and uncles are the village's biggest bullies. When Santhu reveals his love to Geetha, he is shocked to find that a planned marriage for Geetha had been arranged for her by her father. San... Leer todo",2h 14min
Savaal,,,Dhananjay Balaji,,,
Vishwa Vinayaka,,,V. Swaminathan,V. Swaminathan,,2h 3min
Kalyanamasthu,,,Mallesh .B.,Mallesh .B.,,
Nakra,,,Ranjith,,,
Amanusha,,,Jayasimha Musuri,Arif HossainJayasimha Musuri,,
Navarangi,,,G. Umesh,,,
Vasundhara,,,T.S. Nagabharana,T.S. Nagabharana,,
Karodpathi,,,C. Ramesh,,,
Nage Bomb,,,Nagendra Urs,V. Ananda Priya,"Two do-no-gooders stumble upon an 'ancient box' which contains a genie imprisoned by who else, a magician. At the same time, the 'descendant' of the magician is after this lost box along with a gang of international-to-next-street-crooks. The police inspector charged with finding this box is also pursuing a local don.",2h 5min
Little Master,,,Shivaram Kristha,,,
Dosthi,,,Anand .V.,,,
Shivajinagara,"5,3",,P.N. Sathya,,"Ramu grows up under difficult conditions that make him a violent person. When he learns that a local thug is wreaking havoc and troubling his family, he decides to put an end to his atrocities.",
Sold,"6,8",,Jeffrey D. Brown,Jeffrey D. BrownJoseph Kwong,A girl risks everything for freedom after being trafficked from her mountain village in Nepal to a brothel in India.,1h 34min
A Quiet Inquisition,"7,7",,Holen KahnAlessandra Zeka,Holen KahnAlessandra Zeka,"Dr. Carla Ceratto is an OBGYN doctor who works in a public hospital in Managua, Nicaragua and who struggles with Nicaragua law about terminating pregnancy.",1h 5min
Santa Joana dos Matadouros,,,João Sousa Cardoso,Bertolt BrechtRegina Guimarães,,
Jô-ô gêmu,,,Daisuke Yamanouchi,Daisuke Yamanouchi,The story follows the fierce competition between the hostesses at the Red Dragon club.,1h 10min
Via Papikondalu,,,Shashi,,,
Nocturne,"5,6",47%,Saul Pincus,Saul PincusMitch Magonet,A sleepwalker is pursued by a young woman who can't sleep.,1h 56min
